primary_subject,complaint_narrative,scam_type,website
avtocoin.com,"A Californian resident reports on their experience with a crypto asset trading site operating at avtocoin.com.  The resident transferred over $6,000 to the site to trade cryptocurrency.  When the resident tried to withdraw their money, the platform said their account was suspended for 30 days due to “suspicious activity”.  The resident has been unable to recover any of their money, and the site is no longer operational.",Fraudulent Trading Platform,avtocoin.com
Eagle Crest Asset Management,"Multiple California residents reported participating in a wealth management course offered by Eagle Crest Asset Management (ECAM), led by an individual identified as “Ridel.” The course focused on stocks and crypto assets trading. The residentswere instructed to open accounts on the crypto asset trading platform operating at OK-Coin (ok-coin.com), QamCoin.com, and Coin-Rush.com.ECAM provided investors with $500 to begin trading. The residents opened accounts and believed they were making profits trading this initial amount. Encouraged by these results, the residents invested their own money and again appeared to earn substantial returns. But when they tried to withdraw funds, the platform demanded commissions taxes, or fees ranging from 8% to 15% of the value of the account. Despite paying these fees, none of the individuals have been able to recover their investments, and none of the associated websites are currently operational.",Fraudulent Trading PlatformPig Butchering Scam,ok-coin.comQamCoin.comCoin-Rush.com
crypen.com,"Multiple California residents report on their experience with a fraudulent crytocurrency trading platform at crypen.com. The residents report joining a WhatsApp group named “Techcrisis Investment Guild.” The group recommended the residents to invest in “TGD” tokens on the platform. Following the group's recommendation, the residents created a crypen.com account and invested funds to purchase “TGD” tokens. However, when the residents attempted to withdraw funds from the platform, their requests were denied unless they paid a ""fee."" The residents have not recovered their funds. Crypen.com is no longer operational.",Fraudulent Trading Platform,crypen.com
defiwa11etbch.comdefie-v2.com,"A California resident reports they were approached online by “Melissa” who steered the conversation over to WhatsApp. Melissa claimed to have inherited crypto assets, which she used to support various non-profit organizations. Melissa offered to help the resident invest in crypto assets and showed the resident how to open an account on the crypto asset trading platform operating at https://www.defiwa11etbch.com and https://defie-v2.com. Melissa then provided the resident trading signals to make short term trades, saying she could predict the market. The resident traded based on Melissa's signals on the platform for a few weeks, but when the resident tried to withdraw funds from the platform, they were unable to do so. Then, Melissa cut off all communications. The resident has been unable to recover their funds, and the websites are no longer operational. All told, the resident lost $700,000 on the platform.",Fraudulent Trading PlatformRomance Scam,defiwa11etbch.comdefie-v2.com
lbmaex.xyz,"A California resident reports that they met an individual on Instagram. The individual presented themselves as a young millionaire that resided in New York. The individual convinced the resident to register for a website called “LBMA” to trade“gold spots”. The individual then taught the resident how to transfer cryptocurrency to a fraudulent crypto asset tradingplatform operating at lbmaex.xyz (LBMA).  The resident followed those instructions, and after each transfer to lbmaex.xyz, the individual would “match” the resident’s deposits to increase the resident's trading capacity. In addition, the individual persuaded the resident to liquidate their retirement accounts to invest on lbmaex.xyz. After their largest deposit, the resident attempted to withdraw their funds from the platform, but the platform informed the resident that they could not do so without paying “taxes”. The resident has not paid the “taxes” and has not recovered their funds. lbmaex.xyz is not operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,lbmaex.xyz
rwanexus.io,"A California resident reports being approached on WhatsApp by “Yuxuan”, who introduced the resident to the crypto asset trading platform, RWA Nexus, operating at http://rwanexus.io/ as a way to earn profits through crypto asset trading. Yuxuan showed the resident how to open an account to trade crypto assets for profit and begin trading. Over the course of a few weeks, Yuxuan encouraged the resident to deposit more money onto the platform. But when the resident tried to withdraw funds, the platform said that their account had been flagged for suspicious activity and would be frozen unless they paid 5% of value of their account to cover an “audit fee”. The resident paid, but the platform demanded that they pay another 5% fee to recover their assets. The resident has been unable to recover their funds, and the website is no longer operational. All told, the resident lost at least $300,000.",Fraudulent Trading PlatformPig Butchering Scam,rwanexus.io
Oaktree-ex.com,"A California resident reports joining a group online called “CO6 Dr. Johnson’s Investment Education Institute.” The resident reports that the group provided information on trading cryptocurrency and provided different trading signals to trade cryptocurrency. The group instructed the resident to open an account on the crypto asset trading platform operating at oaktree-ex.com. The group encouraged the resident to put more money on the platform to make more profits, and the account indeed appeared to grow. But when the resident tried to withdraw some funds, the platform demanded they pay a “fee” to a charity. The resident paid the fee but has not been able to withdraw their funds. All told, the resident lost at least $40,000 and the website is no longer operational.",Fraudulent Trading PlatformInvestment Group Scam,Oaktree-ex.com
fastscryptoteam.com,"A California resident reports being contacted by an individual online who expressed interest in forming a relationship, but insisted they couldn’t meet until the resident had enough money. The individual then persuaded the resident to open an account on the crypto asset trading platform operating at fastcryptoteam.com. The resident did so and began trading and was even able to withdraw a small amount from the platform. After investing cryptocurrency onto the platform, the resident traced the Bitcoin wallet address where they sent funds, and discovered that the wallet address was not under their control. $30,000 of cryptocurrnecy was then transferred out from the address where the resident transferred cryptocurrency initially to another wallet address not under the resident's control.  The website is no longer operational as of the time this narrative is published.",Fraudulent Trading PlatformRomance Scam,fastscryptoteam.com
Fortress AI Train,"A California resident was invited to join an online crypto asset trading groupnamed ""Fortress AI Train"" on WhatsApp. The group instructed the resident to open an account on the crypto asset trading platform operating at cryptoaiml.vip. The resident opened an account and deposited funds. Then the resident was encouraged to invest more funds to join the “VIP” group. The resident invested funds to join the “VIP” group, but the platform sent an email stating that they received a lawsuit from a governmental regulatory agency alleging that the resident’s account was suspected of “malicious market manipulation” and demanded a “fine”. The resident paid the fine but the platform then demanded more fees. The resident has been unable to withdraw their funds and the website is no longer operational. All told, the resident lost more than $30,000.",Fraudulent Trading PlatformInvestment Group Scam,cryptoaiml.vip
twaaos.com,"A California resident reports they were approached through a communication app by an individual who convinced them to open an account on the crypto asset trading platform operating at twaaos.com. The resident did so and made some small trades, and was even were able to withdraw some of their funds. Encouraged, the resident invested more money on the platform. But when the resident tried to withdraw a larger amount, the platform told the resident that their funds were locked and demanded they pay “mining fees” of 10% of the transaction. The resident did not pay the “mining fees” and has not been able to withdraw their funds.  The website is no longer operational.",Fraudulent Trading Platform,twaaos.com
